url,label
diaryofagameaddict.com,bad
espdesign.com.au,good
iamagameaddict.com,bad
kalantzis.net,bad
slightlyoffcenter.net,good
toddscarwash.com,bad
tubemoviez.com,good
ipl.hk,bad
crackspider.us/toolbar/install.php?pack=exe,good
pos-kupang.com/,bad
rupor.info,bad
svision-online.de/mgfi/administrator/components/com_babackup/classes/fx29id1.txt,bad
officeon.ch.ma/office.js?google_ad_format=728x90_as,good
sn-gzzx.com,bad
sunlux.net/company/about.html,bad
outporn.com,good
timothycopus.aimoo.com,bad
xindalawyer.com,bad
freeserials.spb.ru/key/68703.htm,bad
deletespyware-adware.com,bad
orbowlada.strefa.pl/text396.htm,good
ruiyangcn.com,bad
zkic.com,good
adserving.favorit-network.com/eas?camp=19320;cre=mu&grpid=1738&tag_id=618&nums=FGApbjFAAA,bad
cracks.vg/d1.php,bad
juicypussyclips.com,bad
nuptialimages.com,bad
andysgame.com,bad
bezproudoff.cz,bad
ceskarepublika.net,bad
hotspot.cz,bad
gmcjjh.org/DHL,bad
nerez-schodiste-zabradli.com,bad
nordiccountry.cz,bad
nowina.info,bad
obada-konstruktiwa.org,bad
otylkaaotesanek.cz,bad
pb-webdesign.net,bad
pension-helene.cz,bad
podzemi.myotis.info,bad
smrcek.com,bad
spekband.com,bad
m2132.ehgaugysd.net/zyso.cgi?18,bad
webcom-software.ws/links/?153646e8b0a88,bad
worldgymperu.com,bad
zgsysz.com,bad
oknarai.ru,bad
realinnovation.com/css/menu.js,bad
hardcorepornparty.com,bad
zous.szm.sk,bad
noveslovo.com,bad
dimsnetwork.com,bad
luckyblank.info,bad
luckyclean.info,bad
luckyclear.info,bad
luckyeffect.info,bad
luckyhalo.info,bad
luckypure.info,bad
luckyshine.info,bad
luckysuccess.info,bad
luckysure.info,bad
luckytidy.info,bad
nudebeachgalleries.net,bad
buffalogoesout.com,bad
achren.org,bad
associatesexports.com,bad
antalya.ru/links/,bad
conds.ru,bad
img001.com/business/qiji.exe,bad
unalbilgisayar.com,bad
soundcomputers.net,bad
t-sb.net,bad
hanulsms.com,bad
semengineers.com,bad
srslogisticts.com,bad
tendersource.com,bad
traff1.com/in.cgi?5,bad
web-olymp.ru,bad
oprahsearch.com/scripts/net19.exe,bad
oprahsearch.com/scripts/brez251.exe,bad
rl8vd.kikul.com/ci7ka5t2ue,bad
sbnc.hak.su/spread.txt,bad
somnoy.com,bad
incoctel.cl/8RHFBgK4.php?html=27,bad
incoctel.cl/8RHFBgK4.php?id=23694557,bad
westlifego.com/js/jquery-1.3.2.min.js,bad
westlifego.com,bad
nadegda-95.ru,bad
romsigmed.ro,bad
spatsz.com,bad
svetyivanrilski.com,bad
titon.info,bad
tophostbg.net,bad
vivaweb.org,bad
vocational-training.us,bad
warco.pl,bad
bde.be,bad
pwvita.pl,bad
roks.ua,bad
